href,section_value
https://indianexpress.com/article/entertainment/bollywood/deepika-padukone-says-shes-looking-forward-to-having-children-with-ranveer-singh-reveals-the-values-she-wants-to-inculcate-in-them-9094541/,World
https://indianexpress.com/article/cities/delhi/suv-hits-bcom-student-inside-noida-university-campus-driver-yet-to-be-arrested-9094542/,World
https://indianexpress.com/article/cities/chandigarh/ed-raid-haryana-congress-mla-surender-panwar-dilbagh-singh-9094559/,World
https://indianexpress.com/article/entertainment/bollywood/janhvi-kapoor-says-boyfriend-shikhar-pahariya-used-to-sing-nadaan-parindey-ghar-aaja-for-her-reveals-sister-khushi-has-hated-most-of-her-exes-9094528/,World
https://indianexpress.com/article/entertainment/bollywood/ira-khan-nupur-shikhare-wedding-aamir-khan-plants-a-sweet-kiss-on-kiran-rao-cheek-watch-9094475/,World
https://indianexpress.com/article/entertainment/bollywood/janhvi-kapoor-on-sridevi-death-howling-when-she-got-the-call-khushi-stopped-crying-comforted-her-koffee-with-karan-9094495/,World
https://indianexpress.com/article/cities/bangalore/bengaluru-nike-shoes-worth-1-crore-rs-stolen-9094505/,World
https://indianexpress.com/article/entertainment/bollywood/khushi-kapoor-says-father-boney-kapoor-cried-after-watching-the-archies-janhvi-kapoor-lists-what-her-sister-has-in-common-with-sridevi-my-biases-aside-9094469/,World
https://indianexpress.com/article/business/oil-markets-minister-puri-petrol-diesel-price-cut-9094079/,Business
https://indianexpress.com/article/business/google-highest-paid-executive-nikesh-arora-billionaire-9093974/,Business
https://indianexpress.com/article/business/commodities/indias-wheat-output-new-record-114-million-tonnes-2023-24-9093875/,Business
https://indianexpress.com/article/business/market/sensex-falls-hdfc-it-shares-weak-global-trends-9093543/,Business
https://indianexpress.com/article/business/market/adani-stocks-rally-supreme-court-verdict-hindenburg-case-9093118/,Business
https://indianexpress.com/article/business/economy/higher-borrowing-by-states-to-widen-yield-spread-with-g-sec-9092546/,Business
https://indianexpress.com/article/business/exports-from-labour-intensive-sectors-lagging-says-gtri-9092547/,Business
https://indianexpress.com/article/business/indias-domestic-air-passenger-traffic-at-record-high-in-2023-9092552/,Business
https://indianexpress.com/article/business/banking-and-finance/inoperative-unclaimed-accounts-how-will-the-rbis-revised-guidelines-benefit-customers-9092549/,Business
https://indianexpress.com/article/business/banking-and-finance/rbi-proposed-easing-of-norms-for-dividend-payout-by-banks-9092554/,Business
https://indianexpress.com/article/business/december-manufacturing-pmi-at-18-month-low-on-slower-pace-of-orders-output-9094216/,Business
